timestamp,datetime,open,high,low,close,volume,source
1787450400000,2026-08-23T02:00:00.000Z,96.04,96.239,94.029,94.39,5079.20845,bitstamp
1787451300000,2026-08-23T02:15:00.000Z,94.375,94.882,94.144,94.47,3978.08839,bitstamp
1787452200000,2026-08-23T02:30:00.000Z,94.45,94.836,94.45,94.487,2892.15005,bitstamp
1787453100000,2026-08-23T02:45:00.000Z,94.478,96.508,94.32,94.9,14658.8874,bitstamp
1787454000000,2026-08-23T03:00:00.000Z,94.884,95,94.497,94.855,2802.64752,bitstamp
1787454900000,2026-08-23T03:15:00.000Z,94.88,94.998,94.185,94.255,3093.39072,bitstamp
1787455800000,2026-08-23T03:30:00.000Z,94.219,94.219,93.418,93.515,4979.81563,bitstamp
1787456700000,2026-08-23T03:45:00.000Z,93.496,93.956,93.496,93.687,1710.51581,bitstamp
1787457600000,2026-08-23T04:00:00.000Z,93.697,94.059,93.161,94.05,3529.71462,bitstamp
1787458500000,2026-08-23T04:15:00.000Z,94.082,94.082,93.252,93.565,4571.82246,bitstamp
1787459400000,2026-08-23T04:30:00.000Z,93.588,93.588,92.82,92.921,5721.8836,bitstamp
1787460300000,2026-08-23T04:45:00.000Z,92.979,92.981,92.216,92.553,5952.35761,bitstamp
1787461200000,2026-08-23T05:00:00.000Z,92.525,92.893,92.139,92.194,7881.93158,bitstamp
1787462100000,2026-08-23T05:15:00.000Z,92.184,93.269,91.557,93.003,9194.96847,bitstamp
1787463000000,2026-08-23T05:30:00.000Z,93.018,93.197,92.546,92.661,5326.42733,bitstamp
1787463900000,2026-08-23T05:45:00.000Z,92.689,92.795,92.312,92.312,1613.88343,bitstamp
1787464800000,2026-08-23T06:00:00.000Z,92.259,92.466,91.794,92.331,3968.08652,bitstamp
1787465700000,2026-08-23T06:15:00.000Z,92.277,92.505,92.104,92.27,3669.5049,bitstamp
1787466600000,2026-08-23T06:30:00.000Z,92.377,92.755,92.342,92.428,2376.52985,bitstamp
1787467500000,2026-08-23T06:45:00.000Z,92.489,92.559,91.993,92.232,2431.6065,bitstamp
1787468400000,2026-08-23T07:00:00.000Z,92.191,92.618,92.139,92.601,2106.99102,bitstamp
1787469300000,2026-08-23T07:15:00.000Z,92.611,92.928,92.611,92.717,1677.22683,bitstamp
1787470200000,2026-08-23T07:30:00.000Z,92.686,92.7,92.406,92.475,1393.87725,bitstamp
1787471100000,2026-08-23T07:45:00.000Z,92.546,92.725,92.337,92.423,1928.08394,bitstamp
1787472000000,2026-08-23T08:00:00.000Z,92.449,92.96,92.331,92.784,4044.39686,bitstamp
1787472900000,2026-08-23T08:15:00.000Z,92.806,92.934,92.774,92.87,2129.42954,bitstamp
1787473800000,2026-08-23T08:30:00.000Z,92.878,93.502,92.809,93.296,3804.6918,bitstamp
1787474700000,2026-08-23T08:45:00.000Z,93.289,93.337,93.024,93.158,3077.24132,bitstamp
1787475600000,2026-08-23T09:00:00.000Z,93.163,93.396,93.106,93.235,1080.10728,bitstamp
1787476500000,2026-08-23T09:15:00.000Z,93.299,93.34,93.111,93.237,2048.3282,bitstamp
1787477400000,2026-08-23T09:30:00.000Z,93.196,93.255,92.882,93.241,1625.14321,bitstamp
1787478300000,2026-08-23T09:45:00.000Z,93.21,93.51,93.135,93.32,1164.63623,bitstamp
1787479200000,2026-08-23T10:00:00.000Z,93.272,93.774,93.272,93.686,2320.23234,bitstamp
1787480100000,2026-08-23T10:15:00.000Z,93.796,94.089,93.676,93.682,3096.98738,bitstamp
1787481000000,2026-08-23T10:30:00.000Z,93.737,93.889,93.637,93.788,1833.5051,bitstamp
1787481900000,2026-08-23T10:45:00.000Z,93.765,93.831,93.575,93.625,1552.33172,bitstamp
1787482800000,2026-08-23T11:00:00.000Z,93.632,93.867,93.542,93.867,1547.74769,bitstamp
1787483700000,2026-08-23T11:15:00.000Z,93.845,94.539,93.726,94.318,2775.9136,bitstamp
1787484600000,2026-08-23T11:30:00.000Z,94.284,94.781,94.284,94.683,2646.27306,bitstamp
1787485500000,2026-08-23T11:45:00.000Z,94.672,94.703,94.512,94.62,2031.34143,bitstamp
1787486400000,2026-08-23T12:00:00.000Z,94.622,94.622,94.085,94.234,2340.40272,bitstamp
1787487300000,2026-08-23T12:15:00.000Z,94.316,94.56,94.281,94.475,947.64133,bitstamp
1787488200000,2026-08-23T12:30:00.000Z,94.486,94.779,94.453,94.716,1853.69931,bitstamp
1787489100000,2026-08-23T12:45:00.000Z,94.712,94.712,94.402,94.568,969.41543,bitstamp
1787490000000,2026-08-23T13:00:00.000Z,94.559,94.917,94.559,94.89,2795.47828,bitstamp
1787490900000,2026-08-23T13:15:00.000Z,94.873,95.793,94.873,95.018,9185.30166,bitstamp
1787491800000,2026-08-23T13:30:00.000Z,95.04,95.274,94.848,95.274,2254.64673,bitstamp
1787492700000,2026-08-23T13:45:00.000Z,95.288,95.528,95.154,95.383,3191.02741,bitstamp
1787493600000,2026-08-23T14:00:00.000Z,95.374,95.669,95.076,95.508,4393.93636,bitstamp
1787494500000,2026-08-23T14:15:00.000Z,95.51,95.651,95.173,95.359,4325.82759,bitstamp
1787495400000,2026-08-23T14:30:00.000Z,95.356,95.488,93.4,94.402,9547.56346,bitstamp
1787496300000,2026-08-23T14:45:00.000Z,94.423,95.16,94.423,95.024,6601.50359,bitstamp
1787497200000,2026-08-23T15:00:00.000Z,95.044,95.433,94.672,95.271,6013.25264,bitstamp
1787498100000,2026-08-23T15:15:00.000Z,95.265,95.453,94.855,95.413,6062.88665,bitstamp
1787499000000,2026-08-23T15:30:00.000Z,95.442,95.858,95.442,95.7,5258.31238,bitstamp
1787499900000,2026-08-23T15:45:00.000Z,95.668,95.738,95.293,95.357,3838.59376,bitstamp
1787500800000,2026-08-23T16:00:00.000Z,95.383,95.526,95.264,95.435,3342.97744,bitstamp
1787501700000,2026-08-23T16:15:00.000Z,95.408,95.415,95.16,95.392,1878.56577,bitstamp
1787502600000,2026-08-23T16:30:00.000Z,95.406,95.686,95.373,95.538,5210.18912,bitstamp
1787503500000,2026-08-23T16:45:00.000Z,95.523,95.608,95.292,95.384,5311.51046,bitstamp
1787504400000,2026-08-23T17:00:00.000Z,95.437,95.459,94.83,95.366,4356.31875,bitstamp
1787505300000,2026-08-23T17:15:00.000Z,95.365,95.506,95.089,95.15,2653.2592,bitstamp
1787506200000,2026-08-23T17:30:00.000Z,95.162,95.21,94.807,95.104,4557.26133,bitstamp
1787507100000,2026-08-23T17:45:00.000Z,95.132,95.26,95.054,95.109,1011.76765,bitstamp
1787508000000,2026-08-23T18:00:00.000Z,95.094,95.351,94.929,95.214,1675.96795,bitstamp
1787508900000,2026-08-23T18:15:00.000Z,95.217,95.433,95.109,95.378,2483.09151,bitstamp
1787509800000,2026-08-23T18:30:00.000Z,95.353,95.385,95.106,95.281,2534.7016,bitstamp
1787510700000,2026-08-23T18:45:00.000Z,95.248,95.33,95.101,95.262,1486.88318,bitstamp
1787511600000,2026-08-23T19:00:00.000Z,95.305,95.414,94.924,95.039,2924.74007,bitstamp
1787512500000,2026-08-23T19:15:00.000Z,95.036,95.116,94.954,95.054,1354.20593,bitstamp
1787513400000,2026-08-23T19:30:00.000Z,95.056,95.307,94.825,95.307,3209.66993,bitstamp
1787514300000,2026-08-23T19:45:00.000Z,95.283,95.448,95.033,95.033,3125.52748,bitstamp
1787515200000,2026-08-23T20:00:00.000Z,95.011,95.124,94.784,95.028,5647.45687,bitstamp
1787516100000,2026-08-23T20:15:00.000Z,95.01,95.367,95.01,95.235,1916.29614,bitstamp
1787517000000,2026-08-23T20:30:00.000Z,95.253,95.333,95.126,95.148,3338.21285,bitstamp
1787517900000,2026-08-23T20:45:00.000Z,95.174,95.174,95.016,95.055,1132.90166,bitstamp
1787518800000,2026-08-23T21:00:00.000Z,95.082,95.725,95.081,95.614,5394.38999,bitstamp
1787519700000,2026-08-23T21:15:00.000Z,95.641,96.176,95.641,96.136,6770.2992,bitstamp
1787520600000,2026-08-23T21:30:00.000Z,96.136,96.261,95.199,95.266,6762.10336,bitstamp
1787521500000,2026-08-23T21:45:00.000Z,95.329,95.664,95.233,95.35,4914.2776,bitstamp
1787522400000,2026-08-23T22:00:00.000Z,95.358,95.695,94.814,95.289,5869.71767,bitstamp
1787523300000,2026-08-23T22:15:00.000Z,95.251,95.74,95.086,95.553,3179.74528,bitstamp
1787524200000,2026-08-23T22:30:00.000Z,95.551,95.68,95.4,95.532,2692.96821,bitstamp
1787525100000,2026-08-23T22:45:00.000Z,95.528,95.7,95.324,95.59,3568.76421,bitstamp
1787526000000,2026-08-23T23:00:00.000Z,95.595,95.647,95.039,95.161,2840.53934,bitstamp
1787526900000,2026-08-23T23:15:00.000Z,95.177,95.632,95.018,95.472,4625.12656,bitstamp
1787527800000,2026-08-23T23:30:00.000Z,95.502,95.87,95.014,95.189,4464.38244,bitstamp
1787528700000,2026-08-23T23:45:00.000Z,95.197,95.593,95.164,95.408,7184.89721,bitstamp
1787529600000,2026-08-24T00:00:00.000Z,95.437,95.501,94.934,95.176,4650.40678,bitstamp
1787530500000,2026-08-24T00:15:00.000Z,95.212,95.212,93.855,94.498,8477.52315,bitstamp
1787531400000,2026-08-24T00:30:00.000Z,94.523,95.074,94.347,94.36,5866.26551,bitstamp
1787532300000,2026-08-24T00:45:00.000Z,94.355,95.51,94.162,95.51,9293.78335,bitstamp
1787533200000,2026-08-24T01:00:00.000Z,95.534,95.534,94.891,94.937,5028.83026,bitstamp
1787534100000,2026-08-24T01:15:00.000Z,94.884,94.923,94.505,94.518,2891.58189,bitstamp
1787535000000,2026-08-24T01:30:00.000Z,94.462,94.646,94.19,94.21,3292.44182,bitstamp
1787535900000,2026-08-24T01:45:00.000Z,94.23,94.287,93.737,93.863,7251.81828,bitstamp
1787536800000,2026-08-24T02:00:00.000Z,93.841,94.523,93.688,94.427,2526.25264,bitstamp
1787537700000,2026-08-24T02:15:00.000Z,94.483,94.764,94.483,94.721,5970.37185,bitstamp
1787538600000,2026-08-24T02:30:00.000Z,94.778,95.01,94.622,94.698,1915.10159,bitstamp
1787539500000,2026-08-24T02:45:00.000Z,94.703,94.703,94.027,94.571,5870.77195,bitstamp
1787540400000,2026-08-24T03:00:00.000Z,94.583,94.635,93.857,93.867,8884.15489,bitstamp
1787541300000,2026-08-24T03:15:00.000Z,93.851,94.236,93.768,93.79,3458.30813,bitstamp
1787542200000,2026-08-24T03:30:00.000Z,93.757,94.001,93.443,93.742,4643.20697,bitstamp
1787543100000,2026-08-24T03:45:00.000Z,93.734,94.088,93.67,93.67,6084.83017,bitstamp
1787544000000,2026-08-24T04:00:00.000Z,93.67,94.053,93.67,93.957,5649.04646,bitstamp
1787544900000,2026-08-24T04:15:00.000Z,93.968,94.304,93.968,94.284,2736.3623,bitstamp
1787545800000,2026-08-24T04:30:00.000Z,94.29,94.323,93.972,94.228,6374.44577,bitstamp
1787546700000,2026-08-24T04:45:00.000Z,94.259,94.345,93.675,94.216,6708.0036,bitstamp
1787547600000,2026-08-24T05:00:00.000Z,94.182,94.556,93.891,94.507,7497.669,bitstamp
1787548500000,2026-08-24T05:15:00.000Z,94.547,94.65,93.984,94.043,6993.53848,bitstamp
1787549400000,2026-08-24T05:30:00.000Z,94.056,94.369,93.48,94.133,5367.49953,bitstamp
1787550300000,2026-08-24T05:45:00.000Z,94.142,94.33,94.003,94.292,2656.66777,bitstamp
1787551200000,2026-08-24T06:00:00.000Z,94.322,94.389,93.82,94.352,5384.49341,bitstamp
1787552100000,2026-08-24T06:15:00.000Z,94.338,94.444,94.134,94.3,4800.28393,bitstamp
1787553000000,2026-08-24T06:30:00.000Z,94.216,94.244,93.875,93.989,780.49975,bitstamp
1787553900000,2026-08-24T06:45:00.000Z,93.954,94.65,93.954,94.502,3213.66726,bitstamp
1787554800000,2026-08-24T07:00:00.000Z,94.516,95.443,94.516,95.327,5621.31776,bitstamp
1787555700000,2026-08-24T07:15:00.000Z,95.316,95.316,94.336,94.364,2181.27782,bitstamp
1787556600000,2026-08-24T07:30:00.000Z,94.308,94.378,93.973,94.026,1978.79074,bitstamp
1787557500000,2026-08-24T07:45:00.000Z,94.102,94.427,94.031,94.1,2868.62378,bitstamp
1787558400000,2026-08-24T08:00:00.000Z,94.1,94.335,93.939,94.036,2485.88586,bitstamp
1787559300000,2026-08-24T08:15:00.000Z,93.995,93.995,93.234,93.358,15190.27043,bitstamp
1787560200000,2026-08-24T08:30:00.000Z,93.351,93.891,93.34,93.891,2343.16511,bitstamp
1787561100000,2026-08-24T08:45:00.000Z,93.964,94.064,93.806,93.93,3345.84419,bitstamp
1787562000000,2026-08-24T09:00:00.000Z,93.863,94.542,93.863,94.531,3325.38313,bitstamp
1787562900000,2026-08-24T09:15:00.000Z,94.543,94.66,94.307,94.608,1381.70641,bitstamp
1787563800000,2026-08-24T09:30:00.000Z,94.609,94.869,94.609,94.663,1225.43348,bitstamp
1787564700000,2026-08-24T09:45:00.000Z,94.682,94.793,94.638,94.648,1086.44238,bitstamp
1787565600000,2026-08-24T10:00:00.000Z,94.608,95.054,94.573,95,5445.34918,bitstamp
1787566500000,2026-08-24T10:15:00.000Z,95.017,95.017,94.762,94.762,2672.85951,bitstamp
1787567400000,2026-08-24T10:30:00.000Z,94.846,94.965,94.724,94.791,2071.4005,bitstamp
1787568300000,2026-08-24T10:45:00.000Z,94.781,94.863,94.561,94.671,1207.41862,bitstamp
1787569200000,2026-08-24T11:00:00.000Z,94.684,94.701,94.234,94.665,1830.58963,bitstamp
1787570100000,2026-08-24T11:15:00.000Z,94.655,94.915,94.506,94.863,1802.52925,bitstamp
1787571000000,2026-08-24T11:30:00.000Z,94.881,96.237,94.836,96.223,7672.12175,bitstamp
1787571900000,2026-08-24T11:45:00.000Z,96.23,96.282,95.466,95.851,7460.64738,bitstamp
1787572800000,2026-08-24T12:00:00.000Z,95.801,95.801,95.247,95.304,4321.10537,bitstamp
1787573700000,2026-08-24T12:15:00.000Z,95.319,95.584,94.278,95.42,6915.64518,bitstamp
1787574600000,2026-08-24T12:30:00.000Z,95.394,96.089,95.3,95.963,8057.2383,bitstamp
1787575500000,2026-08-24T12:45:00.000Z,95.936,96.616,95.933,96.244,8943.25751,bitstamp
1787576400000,2026-08-24T13:00:00.000Z,96.272,96.523,95.869,96.356,7467.38458,bitstamp
1787577300000,2026-08-24T13:15:00.000Z,96.366,96.416,95.994,96.024,4107.34528,bitstamp
1787578200000,2026-08-24T13:30:00.000Z,96.06,96.06,94.541,94.854,37473.04606,bitstamp
1787579100000,2026-08-24T13:45:00.000Z,94.798,95.073,94.267,95.018,16014.81876,bitstamp
1787580000000,2026-08-24T14:00:00.000Z,94.991,95.649,94.814,95.633,10402.17791,bitstamp
1787580900000,2026-08-24T14:15:00.000Z,95.633,96.092,95.28,95.748,5585.46895,bitstamp
1787581800000,2026-08-24T14:30:00.000Z,95.749,96.669,95.721,96.453,6922.64101,bitstamp
1787582700000,2026-08-24T14:45:00.000Z,96.457,96.535,95.745,96.057,9143.41988,bitstamp
1787583600000,2026-08-24T15:00:00.000Z,96.074,96.515,96,96.281,3495.03779,bitstamp
1787584500000,2026-08-24T15:15:00.000Z,96.231,97.559,96.231,97.297,8056.01482,bitstamp
1787585400000,2026-08-24T15:30:00.000Z,97.297,97.297,96.214,96.496,10195.26421,bitstamp
1787586300000,2026-08-24T15:45:00.000Z,96.481,96.83,96.167,96.438,8046.61025,bitstamp
1787587200000,2026-08-24T16:00:00.000Z,96.438,97.088,96.438,96.818,4979.95457,bitstamp
1787588100000,2026-08-24T16:15:00.000Z,96.793,97.565,96.713,97.043,5982.095,bitstamp
1787589000000,2026-08-24T16:30:00.000Z,97.051,97.353,96.618,96.715,6528.33672,bitstamp
1787589900000,2026-08-24T16:45:00.000Z,96.716,96.768,95.8,96.05,11165.08628,bitstamp
1787590800000,2026-08-24T17:00:00.000Z,96.056,96.177,95.267,95.903,20470.45537,bitstamp
1787591700000,2026-08-24T17:15:00.000Z,95.903,96.098,94.829,94.901,16267.18693,bitstamp
1787592600000,2026-08-24T17:30:00.000Z,94.923,95.337,94.862,94.862,7184.83514,bitstamp
1787593500000,2026-08-24T17:45:00.000Z,94.852,95.395,94.815,95.385,5044.45895,bitstamp
1787594400000,2026-08-24T18:00:00.000Z,95.412,96.064,95.409,95.982,5279.33009,bitstamp
1787595300000,2026-08-24T18:15:00.000Z,95.996,96.42,95.981,96.277,4682.50536,bitstamp
1787596200000,2026-08-24T18:30:00.000Z,96.292,96.425,95.79,96.198,4112.38815,bitstamp
1787597100000,2026-08-24T18:45:00.000Z,96.231,96.338,95.759,95.923,2438.9684,bitstamp
1787598000000,2026-08-24T19:00:00.000Z,95.949,96.271,95.414,95.82,7836.10887,bitstamp
1787598900000,2026-08-24T19:15:00.000Z,95.807,95.946,95.43,95.927,6590.64651,bitstamp
1787599800000,2026-08-24T19:30:00.000Z,95.938,96.512,95.872,96.253,4780.04342,bitstamp
1787600700000,2026-08-24T19:45:00.000Z,96.252,96.628,96.076,96.505,7667.73968,bitstamp
1787601600000,2026-08-24T20:00:00.000Z,96.534,96.608,96.075,96.223,2428.86611,bitstamp
1787602500000,2026-08-24T20:15:00.000Z,96.195,96.195,95.777,95.949,1504.70287,bitstamp
1787603400000,2026-08-24T20:30:00.000Z,95.951,96.735,95.875,96.592,3463.41224,bitstamp
1787604300000,2026-08-24T20:45:00.000Z,96.547,96.576,96.333,96.516,747.23593,bitstamp
